	Temp	25.000000	
Time	TEMP	REAL TEMP	CURRENT	VOLTAGE
137.116842E+0	25.000000E+0	25.000000	3.220000E-3	+1.13560353E-07
137.543867E+0	25.000000E+0	25.000000	3.230000E-3	+1.05577014E-07
137.969891E+0	25.000000E+0	25.000000	3.240000E-3	+1.13641028E-07
138.396916E+0	25.000000E+0	25.000000	3.250000E-3	+1.24656014E-07
138.821940E+0	25.000000E+0	25.000000	3.260000E-3	+1.06264019E-07
139.247964E+0	25.000000E+0	25.000000	3.270000E-3	+1.11923094E-07
139.673989E+0	25.000000E+0	25.000000	3.280000E-3	+1.07981953E-07
140.100013E+0	25.000000E+0	25.000000	3.290000E-3	+1.39106867E-07
140.524037E+0	25.000000E+0	25.000000	3.300000E-3	+1.04950305E-07
140.950061E+0	25.000000E+0	25.000000	3.310000E-3	+1.52244006E-07
141.376086E+0	25.000000E+0	25.000000	3.320000E-3	+1.20310653E-07
141.803110E+0	25.000000E+0	25.000000	3.330000E-3	+1.34862560E-07
142.231135E+0	25.000000E+0	25.000000	3.340000E-3	+1.43558327E-07
142.656159E+0	25.000000E+0	25.000000	3.350000E-3	+1.43558327E-07
143.080184E+0	25.000000E+0	25.000000	3.360000E-3	+1.22741013E-07
143.506208E+0	25.000000E+0	25.000000	3.370000E-3	+1.32644396E-07
143.933232E+0	25.000000E+0	25.000000	3.380000E-3	+1.51440611E-07
144.360257E+0	25.000000E+0	25.000000	3.390000E-3	+1.30522242E-07
144.784281E+0	25.000000E+0	25.000000	3.400000E-3	+7.74684088E-08
145.210305E+0	25.000000E+0	25.000000	3.410000E-3	+1.23044178E-07
145.635329E+0	25.000000E+0	25.000000	3.420000E-3	+1.35574988E-07
146.060354E+0	25.000000E+0	25.000000	3.430000E-3	+1.75188517E-07
146.487378E+0	25.000000E+0	25.000000	3.440000E-3	+2.06180509E-07
146.912403E+0	25.000000E+0	25.000000	3.450000E-3	+1.67678594E-07
147.338427E+0	25.000000E+0	25.000000	3.460000E-3	+1.78693578E-07
147.762452E+0	25.000000E+0	25.000000	3.470000E-3	+1.95771855E-07
148.188476E+0	25.000000E+0	25.000000	3.480000E-3	+1.85363201E-07
148.614500E+0	25.000000E+0	25.000000	3.490000E-3	+1.58684709E-07
149.040524E+0	25.000000E+0	25.000000	3.500000E-3	+2.18307096E-07
149.466548E+0	25.000000E+0	25.000000	3.510000E-3	+1.06641439E-07
149.890573E+0	25.000000E+0	25.000000	3.520000E-3	+1.69699692E-07
