Time(sec),TempRes(Ohm),SampVolt(V),SampCurr(A),CoilCurr(A),HeatingCurr(A),SampCurr_order(A)0.453,1.0241e-06,-0.0035906,0,0.128,0
96.297,35.75,-2.3135e-06,-0.0034647,2.5,0.128,0
96.578,35.75,0.0048484,2.1401,2.5,0.128,2.1429
96.859,35.75,-2.4414e-06,-0.003459,2.5,0.128,0
97.141,35.75,0.0053776,2.3544,2.5,0.128,2.3571
97.422,35.75,-2.6097e-06,-0.0034446,2.5,0.128,0
97.703,35.75,0.0059403,2.5688,2.5,0.128,2.5714
97.984,35.75,-2.6594e-06,-0.0034144,2.5,0.128,0
98.266,35.75,0.0064858,2.783,2.5,0.128,2.7857
98.547,35.75,-2.2618e-06,-0.0034155,2.5,0.128,0
98.844,35.75,0.0070218,2.9973,2.5,0.128,3
99.75,35.77,-2.8319e-06,-0.0036118,3,0.128,0
100,35.77,-3.3813e-06,-0.0036151,3,0.128,0
100.27,35.77,-3.2548e-06,-0.0036222,3,0.128,0
100.55,35.77,0.00043165,0.21088,3,0.128,0.21429
100.83,35.77,-2.5662e-06,-0.0035832,3,0.128,0
101.11,35.77,0.00091672,0.42543,3,0.128,0.42857
101.39,35.77,-2.1335e-06,-0.0035835,3,0.128,0
101.67,35.77,0.0014176,0.63997,3,0.128,0.64286
101.95,35.77,-2.8094e-06,-0.0035521,3,0.128,0
102.23,35.77,0.0019139,0.85429,3,0.128,0.85714
102.52,35.77,-3.1889e-06,-0.003538,3,0.128,0
102.8,35.77,0.0024049,1.0686,3,0.128,1.0714
103.08,35.77,-1.9397e-06,-0.0035283,3,0.128,0
103.36,35.77,0.0029175,1.2829,3,0.128,1.2857
103.64,35.77,-2.8929e-06,-0.0035254,3,0.128,0
103.92,35.77,0.0034334,1.4972,3,0.128,1.5
104.2,35.77,-2.5027e-06,-0.0035114,3,0.128,0
104.48,35.77,0.0039625,1.7114,3,0.128,1.7143
104.77,35.77,-2.1288e-06,-0.0034827,3,0.128,0
105.05,35.77,0.0044954,1.9257,3,0.128,1.9286
105.33,35.77,-2.6357e-06,-0.0034682,3,0.128,0
105.61,35.77,0.005023,2.1401,3,0.128,2.1429
105.89,35.77,-3.1647e-06,-0.0034574,3,0.128,0
106.17,35.77,0.0055734,2.3544,3,0.128,2.3571
106.45,35.77,-3.1677e-06,-0.0034407,3,0.128,0
106.73,35.77,0.0061464,2.5687,3,0.128,2.5714
107.02,35.77,-2.7479e-06,-0.0034293,3,0.128,0
107.3,35.77,0.0067145,2.783,3,0.128,2.7857
107.58,35.77,-2.4146e-06,-0.0033971,3,0.128,0
107.86,35.77,0.007262,2.9974,3,0.128,3
108.92,35.77,-3.3196e-06,-0.003594,3.5,0.128,0
109.17,35.77,-3.9227e-06,-0.0036164,3.5,0.128,0
109.42,35.77,-3.7371e-06,-0.0036235,3.5,0.128,0
109.7,35.77,0.00045401,0.21089,3.5,0.128,0.21429
109.98,35.77,-3.4538e-06,-0.0035924,3.5,0.128,0
110.27,35.77,0.00095634,0.42546,3.5,0.128,0.42857
110.55,35.77,-3.7293e-06,-0.0035767,3.5,0.128,0
110.83,35.77,0.0014749,0.63997,3.5,0.128,0.64286
111.11,35.77,-2.9007e-06,-0.0035289,3.5,0.128,0
111.39,35.77,0.0019874,0.85431,3.5,0.128,0.85714
111.67,35.77,-2.7439e-06,-0.0035317,3.5,0.128,0
111.95,35.77,0.0024974,1.0686,3.5,0.128,1.0714
112.23,35.77,-2.8399e-06,-0.0035102,3.5,0.128,0
112.52,35.77,0.0030236,1.2829,3.5,0.128,1.2857
112.8,35.77,-2.6355e-06,-0.0034907,3.5,0.128,0
113.08,35.77,0.0035548,1.4972,3.5,0.128,1.5
113.36,35.77,-3.6481e-06,-0.0034619,3.5,0.128,0
113.64,35.77,0.0040868,1.7114,3.5,0.128,1.7143
113.92,35.77,-2.696e-06,-0.0034556,3.5,0.128,0
114.2,35.77,0.004643,1.9257,3.5,0.128,1.9286
114.48,35.77,-3.4082e-06,-0.0034459,3.5,0.128,0
114.77,35.77,0.0051944,2.1402,3.5,0.128,2.1429
